Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Yemen,Marib,Marib,YEM,YE2613,YE26,January,2015,2,0
Yemen,Marib,Al Jubah,YEM,YE2607,YE26,January,2015,1,0
Yemen,Sadah,Ghamr,YEM,YE2204,YE22,January,2015,0,0
Yemen,Al Hudaydah,Ad Durayhimi,YEM,YE1814,YE18,January,2015,0,0
Yemen,Suqutra,Hidaybu,YEM,YE3201,YE32,January,2015,0,0
Yemen,Sadah,Saadah,YEM,YE2215,YE22,January,2015,1,4
Yemen,Al Mahwit,Shibam Kawkaban,YEM,YE2701,YE27,January,2015,0,0
Yemen,Ibb,Mudhaykhirah,YEM,YE1117,YE11,January,2015,0,0
Yemen,Hajjah,Midi,YEM,YE1703,YE17,January,2015,0,0
Yemen,Ad Dali,Qaatabah,YEM,YE3003,YE30,January,2015,0,0
Yemen,Taizz,Sharab As Salam,YEM,YE1502,YE15,January,2015,0,0
Yemen,Taizz,Sabir Al Mawadim,YEM,YE1510,YE15,January,2015,0,0
Yemen,Lahij,Halimayn,YEM,YE2506,YE25,January,2015,0,0
Yemen,Hajjah,Al Miftah,YEM,YE1716,YE17,January,2015,0,0
Yemen,Taizz,Sama,YEM,YE1523,YE15,January,2015,0,0
Yemen,Amran,Habur Zulaymah,YEM,YE2908,YE29,January,2015,0,0
Yemen,Al Hudaydah,Az Zaydiyah,YEM,YE1807,YE18,January,2015,0,0
Yemen,Sanaa,Al Haymah Al Kharijiyah,YEM,YE2309,YE23,January,2015,0,0
Yemen,Abyan,Khanfir,YEM,YE1211,YE12,January,2015,3,7
Yemen,Taizz,Jabal Habashy,YEM,YE1508,YE15,January,2015,0,0
Yemen,Taizz,At Taiziyah,YEM,YE1520,YE15,January,2015,0,0
Yemen,Sadah,Sahar,YEM,YE2211,YE22,January,2015,0,0
Yemen,Al Jawf,Al Maton,YEM,YE1606,YE16,January,2015,0,0
Yemen,Al Hudaydah,Al Khawkhah,YEM,YE1820,YE18,January,2015,1,6
Yemen,Hajjah,Aflah Al Yaman,YEM,YE1714,YE17,January,2015,0,0
Yemen,Abyan,Sarar,YEM,YE1207,YE12,January,2015,0,0
Yemen,Al Bayda,Dhi Naim,YEM,YE1406,YE14,January,2015,1,7
Yemen,Al Hudaydah,Al Marawiah,YEM,YE1813,YE18,January,2015,0,0
Yemen,Ibb,Hubaysh,YEM,YE1108,YE11,January,2015,0,0
Yemen,Dhamar,Jabal Ash Sharq,YEM,YE2003,YE20,January,2015,0,0
Yemen,Shabwah,Merkhah Al Ulya,YEM,YE2108,YE21,January,2015,0,0
Yemen,Amran,Huth,YEM,YE2902,YE29,January,2015,0,0
Yemen,Hadramawt,Tarim,YEM,YE1911,YE19,January,2015,0,0
Yemen,Ibb,Hazm Al Udayn,YEM,YE1109,YE11,January,2015,0,0
Yemen,Lahij,Tuban,YEM,YE2515,YE25,January,2015,0,0
Yemen,Sanaa,Nihm,YEM,YE2303,YE23,January,2015,0,0
Yemen,Hajjah,Kushar,YEM,YE1707,YE17,January,2015,0,0
Yemen,Aden,Al Buraiqeh,YEM,YE2404,YE24,January,2015,2,1
Yemen,Al Bayda,Al Quraishyah,YEM,YE1414,YE14,January,2015,7,35
Yemen,Sadah,Majz,YEM,YE2210,YE22,January,2015,0,0
Yemen,Al Jawf,Al Khalq,YEM,YE1609,YE16,January,2015,0,0
Yemen,Al Bayda,Mukayras,YEM,YE1408,YE14,January,2015,1,0
Yemen,Amran,Bani Suraim,YEM,YE2920,YE29,January,2015,0,0
Yemen,Hadramawt,Sah,YEM,YE1909,YE19,January,2015,0,0
Yemen,Hadramawt,Ash Shihr,YEM,YE1915,YE19,January,2015,1,1
Yemen,Ibb,Al Udayn,YEM,YE1111,YE11,January,2015,0,0
Yemen,Al Hudaydah,Bayt Al Faqiah,YEM,YE1817,YE18,January,2015,0,0
Yemen,Hadramawt,Brom Mayfa,YEM,YE1925,YE19,January,2015,0,0
Yemen,Hadramawt,Wadi Al Ayn,YEM,YE1919,YE19,January,2015,0,0
Yemen,Ad Dali,Damt,YEM,YE3002,YE30,January,2015,0,0
Yemen,Hadramawt,Ghayl Bin Yamin,YEM,YE1916,YE19,January,2015,0,0
Yemen,Amran,Khamir,YEM,YE2919,YE29,January,2015,0,0
Yemen,Shabwah,Usaylan,YEM,YE2105,YE21,January,2015,0,0
Yemen,Al Bayda,Al Ryashyah,YEM,YE1418,YE14,January,2015,0,0
Yemen,Hajjah,Abs,YEM,YE1704,YE17,January,2015,0,0
Yemen,Ibb,Al Mashannah,YEM,YE1118,YE11,January,2015,5,5
Yemen,Hadramawt,As Sawm,YEM,YE1912,YE19,January,2015,0,0
Yemen,Taizz,Al Mawasit,YEM,YE1522,YE15,January,2015,0,0
Yemen,Al Hudaydah,As Sukhnah,YEM,YE1815,YE18,January,2015,0,0
Yemen,Al Mahrah,Sayhut,YEM,YE2807,YE28,January,2015,0,0
Yemen,Al Mahwit,Hufash,YEM,YE2706,YE27,January,2015,0,0
Yemen,Aden,Craiter,YEM,YE2407,YE24,January,2015,5,4
Yemen,Abyan,Zingibar,YEM,YE1210,YE12,January,2015,3,1
Yemen,Raymah,Mazhar,YEM,YE3104,YE31,January,2015,0,0
Yemen,Shabwah,Nisab,YEM,YE2110,YE21,January,2015,1,1
Yemen,Amran,Harf Sufyan,YEM,YE2901,YE29,January,2015,0,0
Yemen,Hadramawt,Ad Dis,YEM,YE1914,YE19,January,2015,0,0
Yemen,Hadramawt,Al Qatn,YEM,YE1907,YE19,January,2015,4,6
Yemen,Amran,Maswar,YEM,YE2916,YE29,January,2015,0,0
Yemen,Al Hudaydah,At Tuhayat,YEM,YE1826,YE18,January,2015,0,0
